Mõõtepunkti kood;N/A
Mõõtepunkti aadress;N/A
;
;
Periood;Tarbitud energia (võrgust) / kWh
15.10.2022;14,142
16.10.2022;13,21
17.10.2022;21,741
18.10.2022;17,34
19.10.2022;29,653
20.10.2022;20,973
21.10.2022;26,305
22.10.2022;14,363
23.10.2022;14,27
24.10.2022;25,23
25.10.2022;23,26
26.10.2022;21,853
27.10.2022;17,191
28.10.2022;18,739
29.10.2022;13,394
30.10.2022;19,636
31.10.2022;18,62
01.11.2022;25,179
02.11.2022;23,46
03.11.2022;17,71
04.11.2022;23,329
05.11.2022;18,395
06.11.2022;16,972
07.11.2022;30,267
08.11.2022;30,163
09.11.2022;21,466
10.11.2022;15,453
11.11.2022;15,214
12.11.2022;20,557
13.11.2022;23,668
14.11.2022;25,489
15.11.2022;26,016
16.11.2022;36,799
17.11.2022;34,422
18.11.2022;38,369
19.11.2022;37,236
20.11.2022;55,017
21.11.2022;61,909
22.11.2022;54,532
23.11.2022;41,773
24.11.2022;48,972
25.11.2022;55,317
26.11.2022;45,89
27.11.2022;48,954
28.11.2022;60,357
29.11.2022;46,175
30.11.2022;48,909
01.12.2022;47,597
02.12.2022;58,29
03.12.2022;67,406
04.12.2022;58,527
05.12.2022;52,284
06.12.2022;48,88
07.12.2022;51,773
08.12.2022;52,861
09.12.2022;63,59
10.12.2022;54,257
11.12.2022;67,855
12.12.2022;54,522
13.12.2022;54,62
14.12.2022;58,658
15.12.2022;54,575
16.12.2022;69,814
17.12.2022;52,886
18.12.2022;50,847
19.12.2022;32,639
20.12.2022;50,295
21.12.2022;28,173
22.12.2022;25,242
23.12.2022;29,171
24.12.2022;35,694
25.12.2022;46,378
26.12.2022;56,014
27.12.2022;50,726
28.12.2022;47,678
29.12.2022;36,774
30.12.2022;26,055
31.12.2022;28,596
01.01.2023;32,094
02.01.2023;46,032
03.01.2023;45,187
04.01.2023;48,008
05.01.2023;55,591
06.01.2023;60,83
07.01.2023;87,677
08.01.2023;81,122
09.01.2023;59,553
10.01.2023;57,899
11.01.2023;37,05
12.01.2023;36,241
13.01.2023;32,437
14.01.2023;25,726
15.01.2023;26,915
16.01.2023;32,491
17.01.2023;37,441
18.01.2023;37,332
19.01.2023;36,355
20.01.2023;49,812
21.01.2023;50,61
22.01.2023;48,755
23.01.2023;61,775
24.01.2023;42,632
25.01.2023;38,796
26.01.2023;33,11
27.01.2023;44,831
28.01.2023;43,297
29.01.2023;32,738
30.01.2023;27,283
31.01.2023;28,789
01.02.2023;38,285
02.02.2023;29,581
03.02.2023;34,929
04.02.2023;44,075
05.02.2023;53,924
06.02.2023;47,547
07.02.2023;43,561
08.02.2023;41,677
09.02.2023;43,103
10.02.2023;40,07
11.02.2023;41,041
12.02.2023;37,23
13.02.2023;30,495
14.02.2023;33,425
15.02.2023;38,039
16.02.2023;32,82
17.02.2023;41,058
18.02.2023;35,222
19.02.2023;39,326
20.02.2023;51,202
21.02.2023;54,28
22.02.2023;66,605
23.02.2023;57,371
24.02.2023;41,86
25.02.2023;43,315
26.02.2023;49,63
27.02.2023;55,694
28.02.2023;35,75
01.03.2023;39,745
02.03.2023;37,71
03.03.2023;39,058
04.03.2023;34,107
05.03.2023;44,671
06.03.2023;54,313
07.03.2023;53,375
08.03.2023;58,294
09.03.2023;51,565
10.03.2023;57,186
11.03.2023;44,914
12.03.2023;42,668
13.03.2023;43,495
14.03.2023;33,802
15.03.2023;34,42
16.03.2023;42,006
17.03.2023;44,679
18.03.2023;22,593
19.03.2023;25,64
20.03.2023;30,406
21.03.2023;38,004
22.03.2023;36,229
23.03.2023;32,942
24.03.2023;34,542
25.03.2023;25,185
26.03.2023;31,137
27.03.2023;48,574
28.03.2023;41,039
29.03.2023;51,553
30.03.2023;38,086
31.03.2023;50,763
01.04.2023;40,91
02.04.2023;41,644
03.04.2023;41,93
04.04.2023;37,776
05.04.2023;43,027
06.04.2023;41,846
07.04.2023;28,615
08.04.2023;26,935
09.04.2023;29,434
10.04.2023;19,978
11.04.2023;25,795
12.04.2023;26,424
13.04.2023;37,856
14.04.2023;43,827
15.04.2023;22,555
16.04.2023;23,843
17.04.2023;33,42
18.04.2023;34,109
19.04.2023;27,132
20.04.2023;30,212
21.04.2023;29,027
22.04.2023;16,395
23.04.2023;14,321
24.04.2023;26,772
25.04.2023;21,947
26.04.2023;29,379
27.04.2023;25,339
28.04.2023;25,084
29.04.2023;22,45
30.04.2023;22,722
01.05.2023;22,934
02.05.2023;23,963
03.05.2023;27,373
04.05.2023;27,308
05.05.2023;26,909
06.05.2023;21,295
07.05.2023;21,39
08.05.2023;21,896
09.05.2023;23,366
10.05.2023;25,596
11.05.2023;19,109
12.05.2023;21,826
13.05.2023;14,063
14.05.2023;14,352
15.05.2023;17,752
16.05.2023;16,277
17.05.2023;23,058
18.05.2023;26,715
19.05.2023;18,886
20.05.2023;13,44
21.05.2023;13,628
22.05.2023;13,217
23.05.2023;18,903
24.05.2023;19,705
25.05.2023;16,329
26.05.2023;24,468
27.05.2023;22,298
28.05.2023;12,621
29.05.2023;20,585
30.05.2023;22,332
31.05.2023;23,016
01.06.2023;16,582
02.06.2023;19,011
03.06.2023;14,328
04.06.2023;12,522
05.06.2023;10,773
06.06.2023;12,835
07.06.2023;13,79
08.06.2023;18,418
09.06.2023;20,551
10.06.2023;22,37
11.06.2023;15,585
12.06.2023;22,549
13.06.2023;19,872
14.06.2023;20,402
15.06.2023;13,047
16.06.2023;18,564
17.06.2023;8,663
18.06.2023;7,535
19.06.2023;17,706
20.06.2023;15,714
21.06.2023;17,895
22.06.2023;16,325
23.06.2023;9,863
24.06.2023;9,711
25.06.2023;8,078
26.06.2023;18,695
27.06.2023;19,1
28.06.2023;22,381
29.06.2023;13,845
30.06.2023;22,142
01.07.2023;11,424
02.07.2023;11,425
03.07.2023;16,134
04.07.2023;7,804
05.07.2023;14,851
06.07.2023;8,973
07.07.2023;15,951
08.07.2023;8,085
09.07.2023;9,886
10.07.2023;9,692
11.07.2023;12,01
12.07.2023;17,86
13.07.2023;13,851
14.07.2023;18,288
15.07.2023;6,983
16.07.2023;10,369
17.07.2023;13,089
18.07.2023;12,298
19.07.2023;14,835
20.07.2023;16,165
21.07.2023;8,996
22.07.2023;8,775
23.07.2023;11,868
24.07.2023;19,062
25.07.2023;11,39
26.07.2023;17,108
27.07.2023;18,974
28.07.2023;11,97
29.07.2023;9,823
30.07.2023;9,64
31.07.2023;31,808
01.08.2023;21,021
02.08.2023;16,026
03.08.2023;8,614
04.08.2023;14,379
05.08.2023;5,046
06.08.2023;5,185
07.08.2023;20,859
08.08.2023;22,86
09.08.2023;13,901
10.08.2023;18,149
11.08.2023;17,642
12.08.2023;10,431
13.08.2023;7,596
14.08.2023;17,976
15.08.2023;19,3
16.08.2023;10,936
17.08.2023;18,108
18.08.2023;15,421
19.08.2023;6,089
20.08.2023;9,094
21.08.2023;13,239
22.08.2023;14,267
23.08.2023;20,092
24.08.2023;14,757
25.08.2023;16,501
26.08.2023;13,633
27.08.2023;9,318
28.08.2023;20,068
29.08.2023;14,457
30.08.2023;17,311
31.08.2023;17,76
01.09.2023;17,651
02.09.2023;13,793
03.09.2023;11,332
04.09.2023;10,629
